SNo,Date,Symbol,Segment,EntryAt,Signal,Rate,QTY,TGT,SL,Cycle,ExitAt,Closure,ExitRate,Open,High,Low,Close,PP,PR,PS,NewPR,NewPS,LowWick,UpWick,Body,CandleColor,CandleType,SumBody,SMA21,SumClose,AlgoName,TSLFlag
2989,16-06-2023,M&M,NSECM,11.41.02,BUY,1402.6,71,1414,1406.4,140,12.36.02,SL,,1402.35,1402.9,1402.35,1406.2,1400.047163,1411.009532,1389.084794,1413.96106,,,,,,,,,,Algo1.1,TRUE
2990,16-06-2023,BAJAJFINSV,NSECM,11.40.04,SELL,1507.4,66,1495.2,1503.3,85,12.51.03,SL,,1508.15,1508.5,1507.05,1503.8,1509.698214,1521.519151,1497.877277,,1495.19006,,,,,,,,,Algo1.11,TRUE
2991,16-06-2023,INFY,NSECM,14.01.03,BUY,1288.2,78,1298.6,1291.7,280,14.30.03,SL,,1288.35,1288.65,1288,1293.6,1285.634757,1295.701277,1275.568237,1298.63442,,,,,,,,,,Algo1.1,TRUE
2992,16-06-2023,CIPLA,NSECM,11.12.02,SELL,995.4,100,980.2,1006.4,112,14.52.02,SL,,995.6,995.65,995.2,1006.05,997.899115,1008.676425,987.1218046,,980.17038,,,,,,,,,Algo1.1,None
2993,16-06-2023,SUNPHARMA,NSECM,15.18.04,SELL,989.6,100,977.1,1000.3,59,15.18.04,EXIT,992.9,991.85,992.9,991.75,992.9,989.6,,,,,0.1,0,1.05,R,Breakout,0.66748,1065.100438,39503073.1,Algo2.11,
2994,16-06-2023,AXISBANK,NSECM,12.37.03,BUY,982.8,102,997.8,972,196,15.19.03,EXIT,979.65,982.95,983.15,982.35,979.65,980.2322335,990.8187416,969.6457254,997.83684,,,,,,,,,,Algo1.1,None
2995,16-06-2023,MCDOWELL-N,NSECM,13.04.03,BUY,904.8,111,918.6,894.8,169,15.19.03,EXIT,910,904.85,905,904.4,910,902.5529762,912.3005483,892.805404,918.64344,,,,,,,,,,Algo1.11,None
2996,15-06-2023,INFY,NSECM,14.25.02,SELL,1286.2,78,1275.8,1293.7,308,15.07.03,EXIT,1286.9,,,,,,,,,,,,,,,,,,Algo1.11,None
2997,15-06-2023,BAJAJFINSV,NSECM,14.25.02,SELL,1475.4,68,1463.4,1484,308,15.07.03,EXIT,1476.1,,,,,,,,,,,,,,,,,,Algo1.11,None
2998,19-06-2023,AXISBANK,NSECM,10.12.02,SELL,981.8,102,966.8,979.1,56,10.57.02,TGT,,982.45,982.75,981.5,966.15,983.794152,994.4191289,973.1691752,,966.77846,,,,,,,,,Algo1.1,TRUE
2999,19-06-2023,INFY,NSECM,09.43.03,SELL,1293.1,77,1282.6,1289.6,29,11.17.02,SL,,1293.8,1293.85,1292.5,1288.85,1295.400595,1305.543582,1285.257609,,1282.62589,,,,,,,,,Algo1.11,TRUE
3000,19-06-2023,M&M,NSECM,11.08.03,BUY,1408.5,71,1419.9,1412.3,112,11.35.02,SL,,1408.4,1408.8,1407.7,1412.45,1406.265782,1417.276843,1395.254721,1419.90885,,,,,,,,,,Algo1.1,TRUE
3001,19-06-2023,HAVELLS,NSECM,10.39.02,SELL,1344.4,74,1333.5,1340.8,85,11.36.04,SL,1337.85,1344.25,1344.95,1344.2,1343.95,1346.702976,1357.24766,1336.158292,,1333.51036,,,,,,,,,Algo1.11,TRUE
3002,19-06-2023,BAJAJFINSV,NSECM,13.28.02,SELL,1531.5,65,1519.1,1540.4,252,14.37.03,SL,,1531.25,1532.15,1531.25,1540.3,1534.066996,1546.078741,1522.055251,,1519.09485,,,,,,,,,Algo1.1,None
3003,19-06-2023,TATAMOTORS,NSECM,15.18.02,SELL,571,176,563.4,577.2,65,15.18.02,EXIT,565.75,565.7,565.85,565.5,565.75,571,,,,,0.2,0.1,0.05,R,Indecisive,0.77188,1098.201735,40446314.3,Algo2.11,
3004,19-06-2023,LUPIN,NSECM,15.18.03,SELL,831.4,121,820.6,840.4,284,15.18.03,EXIT,825,825.25,825.25,824.9,825,831.4,,,,,0.1,0,0.25,G,Normal,0.61481,890.0863639,40461501.75,Algo2.11,
